rule_id,rule_type,feature,scope,scope_value,metric,severity,text
0339f107,Conflict,aesthetics,Global,Global,Attention vs Persuasion,medium,Aesthetics creates a trade-off: Attention +1.7pp but Persuasion -1.9pp. Check CTA/tone pairing.
7e176c36,Conflict,occasions,Global,Global,Attention vs Persuasion,medium,Occasions creates a trade-off: Attention +2.2pp but Persuasion -0.1pp. Check CTA/tone pairing.
2aff204f,Conflict,seasonal,Global,Global,Attention vs Persuasion,medium,Seasonal creates a trade-off: Attention +2.1pp but Persuasion -0.8pp. Check CTA/tone pairing.
3402ac00,Heterogeneity,food_presence,OU,INSWA,SCD_score,high,"Food is +4.1pp globally on SCD Score, but -6.3pp in OU=INSWA. Reversal — drill into OU split before briefing."
0f225380,Heterogeneity,product_presence,OU,INSWA,Attention_T2B,medium,"Product is +1.0pp globally on Attention, but -1.5pp in OU=INSWA. Reversal — drill into OU split before briefing."
e883835f,Heterogeneity,product_presence,OU,JSK,Attention_T2B,medium,"Product is +1.0pp globally on Attention, but -2.9pp in OU=JSK. Reversal — drill into OU split before briefing."
bb4c013e,Heterogeneity,product_presence,OU,JSK,Persuasion_T2B,medium,"Product is +2.0pp globally on Persuasion, but -1.6pp in OU=JSK. Reversal — drill into OU split before briefing."
34ddfa31,Heterogeneity,product_presence,OU,JSK,Likeability_Love_Like_T2B,medium,"Product is +1.9pp globally on Likeability, but -2.1pp in OU=JSK. Reversal — drill into OU split before briefing."
cc0750d6,Heterogeneity,product_presence,OU,NAOU,SCD_score,high,"Product is +2.4pp globally on SCD Score, but -4.7pp in OU=NAOU. Reversal — drill into OU split before briefing."
015f77df,Heterogeneity,product_presence,OU,INSWA,SCD_score,medium,"Product is +2.4pp globally on SCD Score, but -2.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
8211d151,Heterogeneity,animatics_cartoons_presence,OU,LATAM,Attention_T2B,medium,"Animatics Cartoons is -5.1pp globally on Attention, but +2.7pp in OU=LATAM. Reversal — drill into OU split before briefing."
45469e15,Heterogeneity,animatics_cartoons_presence,OU,LATAM,Likeability_Love_Like_T2B,high,"Animatics Cartoons is -3.3pp globally on Likeability, but +5.9pp in OU=LATAM. Reversal — drill into OU split before briefing."
19a69b06,Heterogeneity,animatics_cartoons_presence,OU,LATAM,SCD_score,high,"Animatics Cartoons is -1.4pp globally on SCD Score, but +4.4pp in OU=LATAM. Reversal — drill into OU split before briefing."
5ec8b13d,Heterogeneity,color_spectrum,OU,INSWA,Persuasion_T2B,medium,"Color Spectrum is +2.8pp globally on Persuasion, but -1.6pp in OU=INSWA. Reversal — drill into OU split before briefing."
e5aee65c,Heterogeneity,color_spectrum,OU,INSWA,Likeability_Love_Like_T2B,high,"Color Spectrum is +3.8pp globally on Likeability, but -6.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
197ae96b,Heterogeneity,products,OU,NAOU,SCD_score,high,"Products is +3.2pp globally on SCD Score, but -3.3pp in OU=NAOU. Reversal — drill into OU split before briefing."
87337e37,Heterogeneity,products,OU,INSWA,SCD_score,medium,"Products is +3.2pp globally on SCD Score, but -2.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
96f35877,Heterogeneity,passion_point,OU,INSWA,SCD_score,medium,"Passion Point is +2.3pp globally on SCD Score, but -2.6pp in OU=INSWA. Reversal — drill into OU split before briefing."
42e084c1,Heterogeneity,intrinsic_elements,OU,INSWA,Attention_T2B,medium,"Intrinsic Elements is +2.1pp globally on Attention, but -2.3pp in OU=INSWA. Reversal — drill into OU split before briefing."
8673366f,Heterogeneity,intrinsic_elements,OU,INSWA,Likeability_Love_Like_T2B,high,"Intrinsic Elements is +3.1pp globally on Likeability, but -3.1pp in OU=INSWA. Reversal — drill into OU split before briefing."
d70a8d1e,Heterogeneity,intrinsic_elements,OU,GCM,SCD_score,medium,"Intrinsic Elements is +2.3pp globally on SCD Score, but -2.1pp in OU=GCM. Reversal — drill into OU split before briefing."
352859f5,Heterogeneity,intrinsic_elements,OU,INSWA,SCD_score,high,"Intrinsic Elements is +2.3pp globally on SCD Score, but -7.0pp in OU=INSWA. Reversal — drill into OU split before briefing."
a4537879,Heterogeneity,intrinsic_elements,OU,EME,SCD_score,high,"Intrinsic Elements is +2.3pp globally on SCD Score, but -3.3pp in OU=EME. Reversal — drill into OU split before briefing."
8bef40f8,Heterogeneity,food,OU,INSWA,Attention_T2B,medium,"Food is +1.8pp globally on Attention, but -2.0pp in OU=INSWA. Reversal — drill into OU split before briefing."
647d8a43,Heterogeneity,food,OU,INSWA,SCD_score,high,"Food is +4.8pp globally on SCD Score, but -16.2pp in OU=INSWA. Reversal — drill into OU split before briefing."
98046bad,Heterogeneity,seasonal,OU,EME,Attention_T2B,high,"Seasonal is +2.1pp globally on Attention, but -6.2pp in OU=EME. Reversal — drill into OU split before briefing."
90f1c339,Heterogeneity,seasonal,OU,EME,Likeability_Love_Like_T2B,high,"Seasonal is +2.8pp globally on Likeability, but -3.9pp in OU=EME. Reversal — drill into OU split before briefing."
5f9f8d21,Heterogeneity,seasonal,OU,EME,SCD_score,high,"Seasonal is +8.6pp globally on SCD Score, but -11.3pp in OU=EME. Reversal — drill into OU split before briefing."
