insight_id,filter,filter_value,insight_key,feature,feature_display,metric,metric_display,direction,effect_size,effect_size_cohen_d,evidence_uplift_pp,evidence_n_has,evidence_n_abs,evidence_baseline_pp,evidence_sig,evidence_p_value,quality_flags,confidence,text
97413871,Global,Global,Feature,human_presence,Human,Attention_T2B,Attention,positive,small,0.074,1.16,3226,1465,58.66,**,0.00412,multiple_testing_risk,high,Human is associated with 1.2pp higher Attention (n=3226 with feature; **).
d2b8035a,Global,Global,Feature,human_presence,Human,Persuasion_T2B,Persuasion,positive,small,0.084,1.42,3226,1465,54.03,**,0.00432,multiple_testing_risk,high,Human is associated with 1.4pp higher Persuasion (n=3226 with feature; **).
de3ee155,Global,Global,Feature,human_presence,Human,Likeability_Love_Like_T2B,Likeability,positive,small,0.125,2.17,3226,1465,54.85,***,6e-05,multiple_testing_risk,high,Human is associated with 2.2pp higher Likeability (n=3226 with feature; ***).
72dc6308,Global,Global,Feature,human_presence,Human,SCD_score,SCD Score,positive,small,0.027,0.68,3071,1337,49.44,ns,0.46784,multiple_testing_risk,low,Human is associated with 0.7pp higher SCD Score (n=3071 with feature; ns).
93fb7e75,Global,Global,Feature,food_presence,Food,Attention_T2B,Attention,positive,small,0.144,2.28,1110,3581,58.92,***,1e-05,multiple_testing_risk,high,Food is associated with 2.3pp higher Attention (n=1110 with feature; ***).
d50d395a,Global,Global,Feature,food_presence,Food,Persuasion_T2B,Persuasion,positive,medium,0.227,3.85,1110,3581,54.1,***,0.0,multiple_testing_risk,high,Food is associated with 3.8pp higher Persuasion (n=1110 with feature; ***).
9fe032db,Global,Global,Feature,food_presence,Food,Likeability_Love_Like_T2B,Likeability,positive,medium,0.23,4.0,1110,3581,55.39,***,0.0,multiple_testing_risk,high,Food is associated with 4.0pp higher Likeability (n=1110 with feature; ***).
47129aa3,Global,Global,Feature,food_presence,Food,SCD_score,SCD Score,positive,small,0.166,4.13,1068,3340,48.92,***,0.0,multiple_testing_risk,high,Food is associated with 4.1pp higher SCD Score (n=1068 with feature; ***).
89b5a38b,Global,Global,Feature,product_presence,Product,Attention_T2B,Attention,positive,small,0.066,1.04,2627,2064,58.88,**,0.00519,multiple_testing_risk,high,Product is associated with 1.0pp higher Attention (n=2627 with feature; **).
0f3fb052,Global,Global,Feature,product_presence,Product,Persuasion_T2B,Persuasion,positive,small,0.118,2.02,2627,2064,53.88,***,3e-05,multiple_testing_risk,high,Product is associated with 2.0pp higher Persuasion (n=2627 with feature; ***).
3ede2530,Global,Global,Feature,product_presence,Product,Likeability_Love_Like_T2B,Likeability,positive,small,0.112,1.95,2627,2064,55.25,***,7e-05,multiple_testing_risk,high,Product is associated with 1.9pp higher Likeability (n=2627 with feature; ***).
43326eab,Global,Global,Feature,product_presence,Product,SCD_score,SCD Score,positive,small,0.094,2.36,2517,1891,48.57,**,0.00233,multiple_testing_risk,high,Product is associated with 2.4pp higher SCD Score (n=2517 with feature; **).
0afc1a03,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Attention_T2B,Attention,negative,medium,-0.267,-5.11,84,4607,59.55,*,0.04869,multiple_testing_risk,medium,Animatics Cartoons is associated with 5.1pp lower Attention (n=84 with feature; *).
76450638,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Persuasion_T2B,Persuasion,negative,medium,-0.228,-4.37,84,4607,55.09,*,0.02216,multiple_testing_risk,medium,Animatics Cartoons is associated with 4.4pp lower Persuasion (n=84 with feature; *).
56d75796,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,Likeability_Love_Like_T2B,Likeability,negative,small,-0.16,-3.32,84,4607,56.4,ns,0.16317,multiple_testing_risk,low,Animatics Cartoons is associated with 3.3pp lower Likeability (n=84 with feature; ns).
791aac8d,Global,Global,Feature,animatics_cartoons_presence,Animatics Cartoons,SCD_score,SCD Score,negative,small,-0.052,-1.42,82,4326,49.94,ns,0.57286,multiple_testing_risk,low,Animatics Cartoons is associated with 1.4pp lower SCD Score (n=82 with feature; ns).
33fa282f,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Attention_T2B,Attention,positive,medium,0.256,3.95,269,4422,59.24,***,0.00013,multiple_testing_risk,high,Animals And Pets is associated with 3.9pp higher Attention (n=269 with feature; ***).
85f7818d,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Persuasion_T2B,Persuasion,positive,small,0.086,1.43,269,4422,54.93,ns,0.24139,multiple_testing_risk,low,Animals And Pets is associated with 1.4pp higher Persuasion (n=269 with feature; ns).
8eb0ff1b,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,Likeability_Love_Like_T2B,Likeability,positive,medium,0.346,5.76,269,4422,56.01,***,0.0,multiple_testing_risk,high,Animals And Pets is associated with 5.8pp higher Likeability (n=269 with feature; ***).
5f3c4a1c,Global,Global,Feature,animals_and_pets_presence,Animals And Pets,SCD_score,SCD Score,positive,medium,0.345,8.72,254,4154,49.42,***,0.0,multiple_testing_risk,high,Animals And Pets is associated with 8.7pp higher SCD Score (n=254 with feature; ***).
07a6603e,Global,Global,Feature,indoors,Indoors,Attention_T2B,Attention,positive,medium,0.223,3.51,1673,3018,58.21,***,0.0,multiple_testing_risk,high,Indoors is associated with 3.5pp higher Attention (n=1673 with feature; ***).
065b4292,Global,Global,Feature,indoors,Indoors,Persuasion_T2B,Persuasion,positive,small,0.189,3.22,1673,3018,53.86,***,0.0,multiple_testing_risk,high,Indoors is associated with 3.2pp higher Persuasion (n=1673 with feature; ***).
6b884204,Global,Global,Feature,indoors,Indoors,Likeability_Love_Like_T2B,Likeability,positive,medium,0.254,4.4,1673,3018,54.77,***,0.0,multiple_testing_risk,high,Indoors is associated with 4.4pp higher Likeability (n=1673 with feature; ***).
75a24ea0,Global,Global,Feature,indoors,Indoors,SCD_score,SCD Score,positive,small,0.102,2.56,1605,2803,48.99,***,0.00088,multiple_testing_risk,high,Indoors is associated with 2.6pp higher SCD Score (n=1605 with feature; ***).
535a8691,Global,Global,Feature,outdoors,Outdoors,Attention_T2B,Attention,positive,medium,0.21,3.34,734,3957,58.94,***,0.0,multiple_testing_risk,high,Outdoors is associated with 3.3pp higher Attention (n=734 with feature; ***).
862024b1,Global,Global,Feature,outdoors,Outdoors,Persuasion_T2B,Persuasion,positive,small,0.101,1.75,734,3957,54.74,**,0.0076,multiple_testing_risk,high,Outdoors is associated with 1.8pp higher Persuasion (n=734 with feature; **).
642b8d6e,Global,Global,Feature,outdoors,Outdoors,Likeability_Love_Like_T2B,Likeability,positive,medium,0.243,4.23,734,3957,55.68,***,0.0,multiple_testing_risk,high,Outdoors is associated with 4.2pp higher Likeability (n=734 with feature; ***).
138f751e,Global,Global,Feature,outdoors,Outdoors,SCD_score,SCD Score,positive,medium,0.284,7.15,692,3716,48.8,***,0.0,multiple_testing_risk,high,Outdoors is associated with 7.1pp higher SCD Score (n=692 with feature; ***).
34578e6b,Global,Global,Feature,color_spectrum,Color Spectrum,Attention_T2B,Attention,positive,small,0.178,2.82,4176,515,56.95,***,0.00017,multiple_testing_risk,high,Color Spectrum is associated with 2.8pp higher Attention (n=4176 with feature; ***).
9ed259dc,Global,Global,Feature,color_spectrum,Color Spectrum,Persuasion_T2B,Persuasion,positive,small,0.165,2.81,4176,515,52.5,***,0.00045,multiple_testing_risk,high,Color Spectrum is associated with 2.8pp higher Persuasion (n=4176 with feature; ***).
33723ca8,Global,Global,Feature,color_spectrum,Color Spectrum,Likeability_Love_Like_T2B,Likeability,positive,medium,0.22,3.83,4176,515,52.93,***,1e-05,multiple_testing_risk,high,Color Spectrum is associated with 3.8pp higher Likeability (n=4176 with feature; ***).
